"Plan_Fahrt_Id";"SITZPLAETZE";"KAP_1m2";"KAP_2m2";"KAP_3m2";"KAP_4m2"
878;32;40.25;48.5;56.75;65
879;32;40.25;48.5;56.75;65
880;32;40.25;48.5;56.75;65
881;32;40.25;48.5;56.75;65
882;32;40.25;48.5;56.75;65
883;32;40.25;48.5;56.75;65
884;32;40.25;48.5;56.75;65
885;32;40.25;48.5;56.75;65
886;32;40.25;48.5;56.75;65
887;32;40.25;48.5;56.75;65
888;32;40.25;48.5;56.75;65
889;32;40.25;48.5;56.75;65
890;32;40.25;48.5;56.75;65
891;32;40.25;48.5;56.75;65
892;32;40.25;48.5;56.75;65
893;32;40.25;48.5;56.75;65
894;32;40.25;48.5;56.75;65
895;32;40.25;48.5;56.75;65
896;32;40.25;48.5;56.75;65
897;32;40.25;48.5;56.75;65
898;32;40.25;48.5;56.75;65
899;32;40.25;48.5;56.75;65
900;32;40.25;48.5;56.75;65
901;32;40.25;48.5;56.75;65
902;32;40.25;48.5;56.75;65
903;32;40.25;48.5;56.75;65
904;32;40.25;48.5;56.75;65
905;32;40.25;48.5;56.75;65
906;32;40.25;48.5;56.75;65
907;32;40.25;48.5;56.75;65
908;32;40.25;48.5;56.75;65
909;32;40.25;48.5;56.75;65
910;32;40.25;48.5;56.75;65
911;32;40.25;48.5;56.75;65
912;32;40.25;48.5;56.75;65
913;32;40.25;48.5;56.75;65
914;32;40.25;48.5;56.75;65
915;32;40.25;48.5;56.75;65
916;32;40.25;48.5;56.75;65
917;32;40.25;48.5;56.75;65
918;32;40.25;48.5;56.75;65
919;32;40.25;48.5;56.75;65
920;32;40.25;48.5;56.75;65
921;32;40.25;48.5;56.75;65
922;32;40.25;48.5;56.75;65
923;32;40.25;48.5;56.75;65
924;32;40.25;48.5;56.75;65
927;32;40.25;48.5;56.75;65
928;32;40.25;48.5;56.75;65
929;32;40.25;48.5;56.75;65
930;32;40.25;48.5;56.75;65
931;32;40.25;48.5;56.75;65
932;32;40.25;48.5;56.75;65
933;32;40.25;48.5;56.75;65
934;32;40.25;48.5;56.75;65
935;32;40.25;48.5;56.75;65
936;32;40.25;48.5;56.75;65
937;32;40.25;48.5;56.75;65
938;32;40.25;48.5;56.75;65
939;32;40.25;48.5;56.75;65
940;32;40.25;48.5;56.75;65
941;32;40.25;48.5;56.75;65
942;32;40.25;48.5;56.75;65
943;32;40.25;48.5;56.75;65
944;32;40.25;48.5;56.75;65
945;32;40.25;48.5;56.75;65
946;32;40.25;48.5;56.75;65
947;32;40.25;48.5;56.75;65
948;32;40.25;48.5;56.75;65
949;32;40.25;48.5;56.75;65
950;32;40.25;48.5;56.75;65
951;32;40.25;48.5;56.75;65
952;32;40.25;48.5;56.75;65
953;32;40.25;48.5;56.75;65
954;32;40.25;48.5;56.75;65
955;32;40.25;48.5;56.75;65
956;32;40.25;48.5;56.75;65
957;32;40.25;48.5;56.75;65
958;32;40.25;48.5;56.75;65
959;32;40.25;48.5;56.75;65
960;32;40.25;48.5;56.75;65
961;32;40.25;48.5;56.75;65
962;32;40.25;48.5;56.75;65
963;32;40.25;48.5;56.75;65
964;32;40.25;48.5;56.75;65
965;32;40.25;48.5;56.75;65
966;32;40.25;48.5;56.75;65
967;32;40.25;48.5;56.75;65
968;32;40.25;48.5;56.75;65
969;32;40.25;48.5;56.75;65
970;32;40.25;48.5;56.75;65
971;32;40.25;48.5;56.75;65
972;32;40.25;48.5;56.75;65
973;32;40.25;48.5;56.75;65
974;32;40.25;48.5;56.75;65
975;32;40.25;48.5;56.75;65
976;32;40.25;48.5;56.75;65
977;32;40.25;48.5;56.75;65
978;32;40.25;48.5;56.75;65
979;32;40.25;48.5;56.75;65
982;32;40.25;48.5;56.75;65
983;32;40.25;48.5;56.75;65
984;32;40.25;48.5;56.75;65
985;32;40.25;48.5;56.75;65
986;32;40.25;48.5;56.75;65
987;32;40.25;48.5;56.75;65
